Name,Position,Height (ft),Weight (lbs),Class,Birth_City,Birth_State
Hunter Helms18,QB,6.2,210,FR,West Columbia,SC
Trevor Lawrence16,QB,6.5,220,JR,Cartersville,GA
Patrick McClure15,QB,6.1,200,JR,Irmo,SC
Taisun Phommachanh7,QB,6.2,220,FR,Bridgeport,CT
D.J. Uiagalelei5,QB,6.4,245,FR,Bellflower,CA
Demarkcus Bowman1,RB,5.8,190,FR,Lakeland,FL
Lyn-J Dixon23,RB,5.8,190,JR,Butler,GA
Michel Dukes19,RB,5.8,195,SO,Charleston,SC
Travis Etienne9,RB,5.8,210,SR,Jennings,LA
Ty Lucas33,RB,5.6,205,SO,Columbus,GA
Sylvester Mayers32,RB,5.5,150,JR,Richmond,VA
Chez Mellusi27,RB,5.9,200,SO,Naples,FL
Kobe Pace14,RB,5.9,215,FR,Cedartown,GA
Darien Rencher21,RB,5.7,195,SR,Anderson,SC
Ajou Ajou11,WR,6.3,220,FR,Brooks,AB
Will Brown82,WR,5.7,180,JR,Boiling Springs,SC
Hampton Earle83,WR,5.8,180,FR,Clemson,SC
Hamp Greene87,WR,5.8,165,FR,Birmingham,AL
Tye Herbstreit86,WR,5.8,165,FR,Nashville,TN
Josh Jackson45,WR,6.1,190,SR,Greenville,SC
Frank Ladson Jr.2,WR,6.2,195,SO,Miami,FL
Max May89,WR,6.1,190,SO,Clemson,SC
Joseph Ngata10,WR,6.2,215,SO,Folsom,CA
Cornell Powell17,WR,6.0,210,SR,Greenville,NC
Amari Rodgers3,WR,5.8,210,SR,Knoxville,TN
Justyn Ross8,WR,6.3,205,JR,Phenix City,AL
Brannon Spector13,WR,6.1,195,FR,Calhoun,GA
Drew Swinney81,WR,5.7,180,SO,Clemson,SC
Will Swinney22,WR,5.7,185,SR,Clemson,SC
E.J. Williams6,WR,6.3,190,FR,Phenix City,AL
Davis Allen84,TE,6.5,240,SO,Calhoun,GA
Will Blackston43,TE,6.1,235,FR,Honea Path,SC
J.C. Chalk25,TE,6.2,255,SR,Argyle,TX
Sage Ennis87,TE,6.3,230,FR,Graceville,FL
Braden Galloway88,TE,6.3,240,JR,Anderson,SC
Jaelyn Lay85,TE,6.5,270,FR,Atlanta,GA
Luke Price80,TE,6.2,230,JR,Dillon,SC
Matt Bockhorst65,G,6.3,310,JR,Cincinnati,OH
Kaleb Boateng50,OL,6.2,300,FR,Fort Lauderdale,FL
Will Boggs68,OL,6.3,285,FR,York,SC
Mac Cranford60,OL,6.0,280,FR,Hartsville,SC
Jacob Edwards69,OL,6.2,295,JR,Vestavia Hills,AL
Trent Howard75,OL,6.3,285,FR,Birmingham,AL
Mitchell Mayes77,OL,6.3,315,FR,Raleigh,NC
Zac McIntosh63,OL,5.9,295,JR,Belton,SC
Walker Parks64,OL,6.4,275,FR,Lexington,KY
Will Putnam56,OL,6.3,295,SO,Tampa,FL
Hunter Rayburn55,OL,6.3,315,FR,Pensacola,FL
Cade Stewart62,OL,6.2,305,SR,Six Mile,SC
Paul Tchio57,OL,6.4,300,FR,Milton,GA
Mason Trotter54,OL,6.2,270,FR,Roebuck,SC
Bryn Tucker73,OL,6.4,290,FR,Knoxville,TN
Blake Vinson72,OL,6.3,300,SO,Ocala,FL
John Williams76,OL,6.4,280,FR,Canton,GA
Jackson Carman79,OT,6.4,345,JR,Fairfield,OH
Will Edwards67,OT,6.4,255,SO,Greenville,SC
Jordan McFadden71,OT,6.2,295,SO,Spartanburg,SC
